player,team,pos,90s,shots,tackles_won,interceptions,league,season,shots_p90,tackles_won_p90,interceptions_p90
Wilfred Ndidi,Leicester City,"MF,DF",18.7,7,41,36,ENG-Premier League,2223,0.37433155080213903,2.192513368983957,1.9251336898395723
Wout Faes,Leicester City,DF,31.0,13,31,42,ENG-Premier League,2223,0.41935483870967744,1.0,1.3548387096774193
Youri Tielemans,Leicester City,MF,26.0,31,41,29,ENG-Premier League,2223,1.1923076923076923,1.5769230769230769,1.1153846153846154
Çağlar Söyüncü,Leicester City,DF,5.9,5,9,7,ENG-Premier League,2223,0.847457627118644,1.5254237288135593,1.1864406779661016
Alex Oxlade-Chamberlain,Liverpool,FW,3.7,7,4,0,ENG-Premier League,2223,1.8918918918918919,1.081081081081081,0.0
Alisson,Liverpool,GK,37.0,0,0,0,ENG-Premier League,2223,0.0,0.0,0.0
Andy Robertson,Liverpool,DF,28.7,13,21,16,ENG-Premier League,2223,0.4529616724738676,0.7317073170731707,0.5574912891986062
Ben Gannon-Doak,Liverpool,MF,0.3,0,2,0,ENG-Premier League,2223,0.0,6.666666666666667,0.0
Bobby Clark,Liverpool,MF,0.1,0,0,0,ENG-Premier League,2223,0.0,0.0,0.0
Caoimhín Kelleher,Liverpool,GK,1.0,0,0,0,ENG-Premier League,2223,0.0,0.0,0.0
Cody Gakpo,Liverpool,FW,16.2,39,15,4,ENG-Premier League,2223,2.4074074074074074,0.9259259259259259,0.2469135802469136
Curtis Jones,Liverpool,MF,11.5,15,17,3,ENG-Premier League,2223,1.3043478260869565,1.4782608695652173,0.2608695652173913
Darwin Núñez,Liverpool,FW,18.8,84,5,2,ENG-Premier League,2223,4.468085106382978,0.26595744680851063,0.10638297872340426
Diogo Jota,Liverpool,"FW,MF",12.6,35,14,3,ENG-Premier League,2223,2.7777777777777777,1.1111111111111112,0.2380952380952381
Fabinho,Liverpool,MF,29.7,18,37,36,ENG-Premier League,2223,0.6060606060606061,1.245791245791246,1.2121212121212122
Fabio Carvalho,Liverpool,"MF,FW",3.9,11,8,6,ENG-Premier League,2223,2.8205128205128207,2.0512820512820515,1.5384615384615385
Harvey Elliott,Liverpool,MF,17.9,36,20,14,ENG-Premier League,2223,2.011173184357542,1.11731843575419,0.782122905027933
Ibrahima Konaté,Liverpool,DF,17.2,11,26,26,ENG-Premier League,2223,0.6395348837209303,1.5116279069767442,1.5116279069767442
James Milner,Liverpool,"MF,DF",10.1,7,15,10,ENG-Premier League,2223,0.6930693069306931,1.4851485148514851,0.9900990099009901
Joe Gomez,Liverpool,DF,16.3,6,21,22,ENG-Premier League,2223,0.36809815950920244,1.2883435582822085,1.3496932515337423
Jordan Henderson,Liverpool,MF,23.0,23,23,21,ENG-Premier League,2223,1.0,1.0,0.9130434782608695
Joël Matip,Liverpool,DF,12.1,5,8,17,ENG-Premier League,2223,0.4132231404958678,0.6611570247933884,1.4049586776859504
Kostas Tsimikas,Liverpool,DF,8.6,7,9,11,ENG-Premier League,2223,0.813953488372093,1.0465116279069768,1.2790697674418605
Luis Díaz,Liverpool,FW,11.1,27,11,5,ENG-Premier League,2223,2.4324324324324325,0.990990990990991,0.45045045045045046
Mohamed Salah,Liverpool,FW,36.6,125,12,6,ENG-Premier League,2223,3.4153005464480874,0.32786885245901637,0.16393442622950818
Naby Keïta,Liverpool,MF,3.3,10,4,2,ENG-Premier League,2223,3.0303030303030303,1.2121212121212122,0.6060606060606061
Nathaniel Phillips,Liverpool,DF,0.7,1,1,2,ENG-Premier League,2223,1.4285714285714286,1.4285714285714286,2.857142857142857
Roberto Firmino,Liverpool,FW,13.5,39,13,7,ENG-Premier League,2223,2.888888888888889,0.9629629629629629,0.5185185185185185
Stefan Bajcetic,Liverpool,MF,5.8,6,8,6,ENG-Premier League,2223,1.0344827586206897,1.3793103448275863,1.0344827586206897
Thiago Alcántara,Liverpool,MF,13.9,10,27,20,ENG-Premier League,2223,0.7194244604316546,1.9424460431654675,1.4388489208633093
Trent Alexander-Arnold,Liverpool,DF,32.5,40,38,40,ENG-Premier League,2223,1.2307692307692308,1.1692307692307693,1.2307692307692308
Virgil van Dijk,Liverpool,DF,31.5,30,14,26,ENG-Premier League,2223,0.9523809523809523,0.4444444444444444,0.8253968253968254
Aymeric Laporte,Manchester City,"DF,MF",11.0,10,6,3,ENG-Premier League,2223,0.9090909090909091,0.5454545454545454,0.2727272727272727
Bernardo Silva,Manchester City,"MF,FW",24.5,25,25,14,ENG-Premier League,2223,1.0204081632653061,1.0204081632653061,0.5714285714285714
Cole Palmer,Manchester City,"MF,FW",4.1,11,1,1,ENG-Premier League,2223,2.682926829268293,0.24390243902439027,0.24390243902439027
Ederson Moraes,Manchester City,GK,35.0,0,1,1,ENG-Premier League,2223,0.0,0.02857142857142857,0.02857142857142857
Erling Haaland,Manchester City,"FW,MF",30.8,123,2,3,ENG-Premier League,2223,3.9935064935064934,0.06493506493506493,0.09740259740259741
Jack Grealish,Manchester City,"FW,MF",22.8,41,16,8,ENG-Premier League,2223,1.7982456140350878,0.7017543859649122,0.3508771929824561
John Stones,Manchester City,"DF,MF",20.5,11,14,8,ENG-Premier League,2223,0.5365853658536586,0.6829268292682927,0.3902439024390244
João Cancelo,Manchester City,DF,14.2,17,18,19,ENG-Premier League,2223,1.1971830985915493,1.267605633802817,1.3380281690140845
Julián Álvarez,Manchester City,"MF,FW",16.3,47,16,2,ENG-Premier League,2223,2.8834355828220857,0.9815950920245399,0.12269938650306748
Kalvin Phillips,Manchester City,"MF,DF",3.3,6,4,4,ENG-Premier League,2223,1.8181818181818183,1.2121212121212122,1.2121212121212122
Kevin De Bruyne,Manchester City,MF,26.9,65,13,8,ENG-Premier League,2223,2.41635687732342,0.483271375464684,0.29739776951672864
Kyle Walker,Manchester City,"DF,MF",21.8,5,9,19,ENG-Premier League,2223,0.2293577981651376,0.4128440366972477,0.8715596330275229
Manuel Akanji,Manchester City,"DF,MF",25.4,15,24,15,ENG-Premier League,2223,0.5905511811023623,0.9448818897637796,0.5905511811023623
Máximo Perrone,Manchester City,MF,0.2,0,0,0,ENG-Premier League,2223,0.0,0.0,0.0
Nathan Aké,Manchester City,DF,20.8,9,12,19,ENG-Premier League,2223,0.43269230769230765,0.5769230769230769,0.9134615384615384
Phil Foden,Manchester City,"FW,MF",20.5,46,10,5,ENG-Premier League,2223,2.2439024390243905,0.4878048780487805,0.24390243902439024
