player,team,pos,90s,shots,tackles_won,interceptions,league,season,shots_p90,tackles_won_p90,interceptions_p90
Gabriel Magalhães,Arsenal,DF,33.8,31,29,29,ENG-Premier League,2324,0.9171597633136096,0.8579881656804734,0.8579881656804734
Gabriel Martinelli,Arsenal,FW,22.4,58,23,4,ENG-Premier League,2324,2.5892857142857144,1.0267857142857144,0.17857142857142858
Jakub Kiwior,Arsenal,DF,10.5,6,13,7,ENG-Premier League,2324,0.5714285714285714,1.2380952380952381,0.6666666666666666
Jorginho,Arsenal,MF,10.2,4,10,11,ENG-Premier League,2324,0.3921568627450981,0.9803921568627452,1.0784313725490198
Jurriën Timber,Arsenal,DF,0.8,0,2,0,ENG-Premier League,2324,0.0,2.5,0.0
Kai Havertz,Arsenal,"MF,FW",29.3,69,17,18,ENG-Premier League,2324,2.354948805460751,0.5802047781569966,0.6143344709897611
Leandro Trossard,Arsenal,"FW,MF",18.3,60,14,8,ENG-Premier League,2324,3.278688524590164,0.7650273224043715,0.4371584699453552
Martin Ødegaard,Arsenal,MF,34.3,77,18,14,ENG-Premier League,2324,2.2448979591836737,0.5247813411078718,0.40816326530612246
Mohamed Elneny,Arsenal,MF,0.3,2,0,1,ENG-Premier League,2324,6.666666666666667,0.0,3.3333333333333335
Oleksandr Zinchenko,Arsenal,DF,19.1,17,30,19,ENG-Premier League,2324,0.8900523560209423,1.5706806282722512,0.9947643979057591
Reiss Nelson,Arsenal,FW,3.0,4,5,1,ENG-Premier League,2324,1.3333333333333333,1.6666666666666667,0.3333333333333333
Takehiro Tomiyasu,Arsenal,DF,12.8,17,8,18,ENG-Premier League,2324,1.328125,0.625,1.40625
Thomas Partey,Arsenal,"MF,DF",8.8,8,11,10,ENG-Premier League,2324,0.9090909090909091,1.25,1.1363636363636362
William Saliba,Arsenal,DF,38.0,10,26,29,ENG-Premier League,2324,0.2631578947368421,0.6842105263157895,0.7631578947368421
Bertrand Traoré,Aston Villa,"FW,MF",0.1,0,1,0,ENG-Premier League,2324,0.0,10.0,0.0
Boubacar Kamara,Aston Villa,MF,18.4,5,30,20,ENG-Premier League,2324,0.27173913043478265,1.6304347826086958,1.0869565217391306
Calum Chambers,Aston Villa,MF,1.7,0,0,2,ENG-Premier League,2324,0.0,0.0,1.1764705882352942
Cameron Archer,Aston Villa,"FW,MF",0.1,0,0,0,ENG-Premier League,2324,0.0,0.0,0.0
Clément Lenglet,Aston Villa,DF,12.8,7,9,8,ENG-Premier League,2324,0.546875,0.703125,0.625
Diego Carlos,Aston Villa,DF,20.2,10,16,12,ENG-Premier League,2324,0.49504950495049505,0.7920792079207921,0.594059405940594
Douglas Luiz,Aston Villa,MF,33.3,48,37,22,ENG-Premier League,2324,1.4414414414414416,1.1111111111111112,0.6606606606606608
Emiliano Martínez,Aston Villa,GK,33.5,0,0,0,ENG-Premier League,2324,0.0,0.0,0.0
Ezri Konsa,Aston Villa,DF,34.1,19,33,26,ENG-Premier League,2324,0.5571847507331378,0.9677419354838709,0.7624633431085044
Jacob Ramsey,Aston Villa,MF,9.5,19,8,3,ENG-Premier League,2324,2.0,0.8421052631578947,0.3157894736842105
John McGinn,Aston Villa,MF,33.3,40,34,20,ENG-Premier League,2324,1.2012012012012012,1.021021021021021,0.6006006006006006
Jáder Durán,Aston Villa,FW,5.3,20,5,1,ENG-Premier League,2324,3.7735849056603774,0.9433962264150944,0.18867924528301888
Kaine Kesler-Hayden,Aston Villa,"DF,MF",0.1,0,0,0,ENG-Premier League,2324,0.0,0.0,0.0
Leander Dendoncker,Aston Villa,MF,1.3,2,4,2,ENG-Premier League,2324,1.5384615384615383,3.0769230769230766,1.5384615384615383
Leon Bailey,Aston Villa,MF,23.0,53,8,9,ENG-Premier League,2324,2.3043478260869565,0.34782608695652173,0.391304347826087
Lucas Digne,Aston Villa,DF,26.8,20,21,25,ENG-Premier League,2324,0.7462686567164178,0.7835820895522387,0.9328358208955224
Matty Cash,Aston Villa,"DF,MF",23.8,33,30,18,ENG-Premier League,2324,1.3865546218487395,1.2605042016806722,0.7563025210084033
Morgan Rogers,Aston Villa,MF,7.1,11,1,3,ENG-Premier League,2324,1.5492957746478875,0.14084507042253522,0.4225352112676057
Moussa Diaby,Aston Villa,"MF,FW",24.2,54,5,9,ENG-Premier League,2324,2.231404958677686,0.2066115702479339,0.37190082644628103
Nicolò Zaniolo,Aston Villa,"MF,FW",9.3,27,9,1,ENG-Premier League,2324,2.9032258064516125,0.9677419354838709,0.1075268817204301
Ollie Watkins,Aston Villa,FW,35.7,106,7,4,ENG-Premier League,2324,2.9691876750700277,0.19607843137254902,0.11204481792717086
Omari Kellyman,Aston Villa,"FW,MF",0.4,1,0,0,ENG-Premier League,2324,2.5,0.0,0.0
Pau Torres,Aston Villa,DF,27.4,12,16,11,ENG-Premier League,2324,0.43795620437956206,0.5839416058394161,0.40145985401459855
Philippe Coutinho,Aston Villa,"FW,MF",0.3,3,0,0,ENG-Premier League,2324,10.0,0.0,0.0
Robin Olsen,Aston Villa,GK,4.5,0,0,0,ENG-Premier League,2324,0.0,0.0,0.0
Tim Iroegbunam,Aston Villa,MF,1.8,0,4,3,ENG-Premier League,2324,0.0,2.2222222222222223,1.6666666666666665
Tyrone Mings,Aston Villa,DF,0.3,1,0,1,ENG-Premier League,2324,3.3333333333333335,0.0,3.3333333333333335
Youri Tielemans,Aston Villa,"MF,FW",18.0,14,21,14,ENG-Premier League,2324,0.7777777777777778,1.1666666666666667,0.7777777777777778
Álex Moreno,Aston Villa,DF,11.5,8,12,11,ENG-Premier League,2324,0.6956521739130435,1.0434782608695652,0.9565217391304348
Adam Smith,Bournemouth,DF,23.9,2,23,21,ENG-Premier League,2324,0.08368200836820085,0.9623430962343097,0.8786610878661089
Alex Scott,Bournemouth,MF,11.3,15,16,11,ENG-Premier League,2324,1.327433628318584,1.415929203539823,0.9734513274336283
Antoine Semenyo,Bournemouth,MF,23.4,70,17,5,ENG-Premier League,2324,2.9914529914529915,0.7264957264957266,0.2136752136752137
Chris Mepham,Bournemouth,DF,6.9,1,11,5,ENG-Premier League,2324,0.14492753623188406,1.5942028985507246,0.7246376811594203
Dango Ouattara,Bournemouth,"DF,MF",13.7,30,26,21,ENG-Premier League,2324,2.18978102189781,1.8978102189781023,1.5328467153284673
David Brooks,Bournemouth,MF,3.1,13,4,2,ENG-Premier League,2324,4.193548387096774,1.2903225806451613,0.6451612903225806
Dominic Solanke,Bournemouth,FW,36.9,109,9,7,ENG-Premier League,2324,2.9539295392953933,0.24390243902439027,0.1897018970189702
Enes Ünal,Bournemouth,FW,3.6,23,4,1,ENG-Premier League,2324,6.388888888888888,1.1111111111111112,0.2777777777777778
Hamed Junior Traorè,Bournemouth,MF,0.5,3,0,0,ENG-Premier League,2324,6.0,0.0,0.0
Illia Zabarnyi,Bournemouth,DF,37.0,8,31,31,ENG-Premier League,2324,0.21621621621621623,0.8378378378378378,0.8378378378378378
Ionuț Radu,Bournemouth,GK,2.0,0,0,0,ENG-Premier League,2324,0.0,0.0,0.0
Jaidon Anthony,Bournemouth,MF,1.7,2,1,0,ENG-Premier League,2324,1.1764705882352942,0.5882352941176471,0.0
James Hill,Bournemouth,DF,0.8,0,2,3,ENG-Premier League,2324,0.0,2.5,3.75
Joe Rothwell,Bournemouth,MF,4.3,2,2,2,ENG-Premier League,2324,0.46511627906976744,0.46511627906976744,0.46511627906976744
Justin Kluivert,Bournemouth,MF,21.3,56,17,7,ENG-Premier League,2324,2.629107981220657,0.7981220657276995,0.32863849765258213
Kieffer Moore,Bournemouth,"DF,FW",1.2,6,0,0,ENG-Premier League,2324,5.0,0.0,0.0
Lewis Cook,Bournemouth,MF,31.0,12,42,67,ENG-Premier League,2324,0.3870967741935484,1.3548387096774193,2.161290322580645
Lloyd Kelly,Bournemouth,DF,17.3,4,20,13,ENG-Premier League,2324,0.23121387283236994,1.1560693641618496,0.7514450867052023
Luis Sinisterra,Bournemouth,MF,7.8,27,12,8,ENG-Premier League,2324,3.4615384615384617,1.5384615384615385,1.0256410256410258
Marcos Senesi,Bournemouth,DF,24.9,13,35,33,ENG-Premier League,2324,0.5220883534136547,1.4056224899598395,1.3253012048192772
Marcus Tavernier,Bournemouth,MF,23.5,53,33,4,ENG-Premier League,2324,2.25531914893617,1.4042553191489362,0.1702127659574468
Mark Travers,Bournemouth,GK,4.0,0,0,0,ENG-Premier League,2324,0.0,0.0,0.0
Max Aarons,Bournemouth,DF,13.7,2,19,8,ENG-Premier League,2324,0.14598540145985403,1.3868613138686132,0.5839416058394161
Milos Kerkez,Bournemouth,DF,21.9,16,25,16,ENG-Premier League,2324,0.7305936073059361,1.1415525114155252,0.7305936073059361
Neto,Bournemouth,GK,32.0,0,0,1,ENG-Premier League,2324,0.0,0.0,0.03125
Philip Billing,Bournemouth,MF,15.5,30,19,18,ENG-Premier League,2324,1.935483870967742,1.2258064516129032,1.1612903225806452
Romain Faivre,Bournemouth,MF,0.5,2,1,0,ENG-Premier League,2324,4.0,2.0,0.0
Ryan Christie,Bournemouth,MF,32.3,43,43,51,ENG-Premier League,2324,1.3312693498452013,1.3312693498452013,1.5789473684210529
Tyler Adams,Bournemouth,MF,1.3,0,3,4,ENG-Premier League,2324,0.0,2.3076923076923075,3.0769230769230766
Aaron Hickey,Brentford,"DF,MF",7.9,7,10,3,ENG-Premier League,2324,0.8860759493670886,1.2658227848101264,0.37974683544303794
Ben Mee,Brentford,DF,14.1,10,14,13,ENG-Premier League,2324,0.7092198581560284,0.9929078014184397,0.9219858156028369
Bryan Mbeumo,Brentford,FW,21.8,53,9,7,ENG-Premier League,2324,2.4311926605504586,0.4128440366972477,0.3211009174311926
Christian Nørgaard,Brentford,MF,27.8,35,50,53,ENG-Premier League,2324,1.2589928057553956,1.7985611510791366,1.9064748201438848
Ethan Pinnock,Brentford,DF,28.0,19,23,43,ENG-Premier League,2324,0.6785714285714286,0.8214285714285714,1.5357142857142858
Frank Onyeka,Brentford,MF,12.9,22,20,23,ENG-Premier League,2324,1.7054263565891472,1.5503875968992247,1.7829457364341086
Ivan Toney,Brentford,FW,16.1,51,4,10,ENG-Premier League,2324,3.167701863354037,0.24844720496894407,0.6211180124223602
Josh Dasilva,Brentford,MF,0.3,0,1,0,ENG-Premier League,2324,0.0,3.3333333333333335,0.0
Keane Lewis-Potter,Brentford,"FW,MF",16.0,43,7,7,ENG-Premier League,2324,2.6875,0.4375,0.4375
Kevin Schade,Brentford,FW,3.7,8,2,1,ENG-Premier League,2324,2.162162162162162,0.5405405405405405,0.27027027027027023
Kristoffer Ajer,Brentford,DF,20.4,12,23,21,ENG-Premier League,2324,0.5882352941176471,1.1274509803921569,1.0294117647058825
Mads Roerslev,Brentford,"MF,DF",22.1,7,31,20,ENG-Premier League,2324,0.3167420814479638,1.4027149321266967,0.9049773755656108
Mark Flekken,Brentford,GK,36.5,0,1,0,ENG-Premier League,2324,0.0,0.0273972602739726,0.0
Mathias Jensen,Brentford,MF,24.5,14,33,21,ENG-Premier League,2324,0.5714285714285714,1.346938775510204,0.8571428571428571
Mathias Jørgensen,Brentford,DF,12.1,8,12,11,ENG-Premier League,2324,0.6611570247933884,0.9917355371900827,0.9090909090909092
Michael Olakigbe,Brentford,MF,0.7,3,0,1,ENG-Premier League,2324,4.285714285714286,0.0,1.4285714285714286
Mikkel Damsgaard,Brentford,MF,9.4,9,18,12,ENG-Premier League,2324,0.9574468085106382,1.9148936170212765,1.276595744680851
Myles Peart-Harris,Brentford,MF,0.1,0,0,0,ENG-Premier League,2324,0.0,0.0,0.0
Nathan Collins,Brentford,DF,29.5,10,20,43,ENG-Premier League,2324,0.3389830508474576,0.6779661016949152,1.4576271186440677
Neal Maupay,Brentford,FW,14.7,37,7,2,ENG-Premier League,2324,2.5170068027210886,0.4761904761904762,0.1360544217687075
Rico Henry,Brentford,DF,4.5,2,5,5,ENG-Premier League,2324,0.4444444444444444,1.1111111111111112,1.1111111111111112
Saman Ghoddos,Brentford,"DF,MF",8.2,9,21,5,ENG-Premier League,2324,1.0975609756097562,2.5609756097560976,0.6097560975609757
Sergio Reguilón,Brentford,"MF,DF",12.4,13,22,15,ENG-Premier League,2324,1.0483870967741935,1.7741935483870968,1.2096774193548387
Shandon Baptiste,Brentford,MF,2.5,2,3,3,ENG-Premier League,2324,0.8,1.2,1.2
Thomas Strakosha,Brentford,GK,1.5,0,0,0,ENG-Premier League,2324,0.0,0.0,0.0
Vitaly Janelt,Brentford,"MF,DF",33.9,21,36,37,ENG-Premier League,2324,0.6194690265486726,1.0619469026548674,1.0914454277286136
Yehor Yarmoliuk,Brentford,MF,7.6,11,11,6,ENG-Premier League,2324,1.4473684210526316,1.4473684210526316,0.7894736842105263
Yoane Wissa,Brentford,FW,27.7,67,14,9,ENG-Premier League,2324,2.4187725631768955,0.5054151624548736,0.3249097472924188
Adam Lallana,Brighton,MF,9.4,11,3,3,ENG-Premier League,2324,1.1702127659574468,0.3191489361702127,0.3191489361702127
Adam Webster,Brighton,DF,12.7,8,12,16,ENG-Premier League,2324,0.6299212598425197,0.9448818897637796,1.2598425196850394
Ansu Fati,Brighton,"MF,FW",5.8,26,3,2,ENG-Premier League,2324,4.482758620689656,0.5172413793103449,0.3448275862068966
Bart Verbruggen,Brighton,GK,21.0,0,1,0,ENG-Premier League,2324,0.0,0.047619047619047616,0.0
Benicio Boaitey,Brighton,FW,0.4,1,0,0,ENG-Premier League,2324,2.5,0.0,0.0
Billy Gilmour,Brighton,MF,23.6,25,18,10,ENG-Premier League,2324,1.059322033898305,0.7627118644067796,0.423728813559322
Carlos Baleba,Brighton,MF,14.7,21,21,18,ENG-Premier League,2324,1.4285714285714286,1.4285714285714286,1.2244897959183674
Danny Welbeck,Brighton,"FW,MF",18.8,41,18,8,ENG-Premier League,2324,2.1808510638297873,0.9574468085106382,0.425531914893617
Evan Ferguson,Brighton,FW,15.2,33,7,2,ENG-Premier League,2324,2.1710526315789473,0.46052631578947373,0.13157894736842105
Facundo Buonanotte,Brighton,"MF,FW",15.2,21,22,7,ENG-Premier League,2324,1.381578947368421,1.4473684210526316,0.46052631578947373
Igor,Brighton,DF,18.2,5,18,14,ENG-Premier League,2324,0.27472527472527475,0.989010989010989,0.7692307692307693
Jack Hinshelwood,Brighton,"DF,MF",9.7,14,5,14,ENG-Premier League,2324,1.4432989690721651,0.5154639175257733,1.4432989690721651
Jakub Moder,Brighton,"MF,DF",6.9,11,10,1,ENG-Premier League,2324,1.5942028985507246,1.4492753623188406,0.14492753623188406
James Milner,Brighton,"DF,MF",8.6,5,14,8,ENG-Premier League,2324,0.5813953488372093,1.627906976744186,0.9302325581395349
Jan Paul van Hecke,Brighton,DF,26.3,15,25,30,ENG-Premier League,2324,0.5703422053231939,0.9505703422053232,1.1406844106463878
Jason Steele,Brighton,GK,17.0,0,0,0,ENG-Premier League,2324,0.0,0.0,0.0
João Pedro,Brighton,"MF,FW",22.7,75,15,10,ENG-Premier League,2324,3.303964757709251,0.6607929515418502,0.4405286343612335
Joël Veltman,Brighton,DF,17.6,6,41,18,ENG-Premier League,2324,0.3409090909090909,2.329545454545454,1.0227272727272727
Julio Enciso,Brighton,MF,5.3,28,2,0,ENG-Premier League,2324,5.283018867924529,0.37735849056603776,0.0
Kaoru Mitoma,Brighton,"MF,FW",16.5,34,5,5,ENG-Premier League,2324,2.0606060606060606,0.30303030303030304,0.30303030303030304
Lewis Dunk,Brighton,DF,31.9,33,16,31,ENG-Premier League,2324,1.0344827586206897,0.5015673981191223,0.9717868338557994
Mahmoud Dahoud,Brighton,MF,5.0,6,4,1,ENG-Premier League,2324,1.2,0.8,0.2
Mark O'Mahony,Brighton,FW,0.7,1,0,0,ENG-Premier League,2324,1.4285714285714286,0.0,0.0
Odeluga Offiah,Brighton,DF,1.4,0,0,1,ENG-Premier League,2324,0.0,0.0,0.7142857142857143
Pascal Groß,Brighton,"MF,DF",34.6,55,46,21,ENG-Premier League,2324,1.5895953757225434,1.329479768786127,0.6069364161849711
Pervis Estupiñán,Brighton,"DF,MF",13.8,11,13,20,ENG-Premier League,2324,0.7971014492753623,0.9420289855072463,1.4492753623188406
Simon Adingra,Brighton,MF,24.7,52,20,21,ENG-Premier League,2324,2.1052631578947367,0.8097165991902834,0.8502024291497976
Solly March,Brighton,"MF,DF",6.2,14,13,11,ENG-Premier League,2324,2.258064516129032,2.096774193548387,1.7741935483870968
Tariq Lamptey,Brighton,"DF,MF",10.2,6,14,5,ENG-Premier League,2324,0.5882352941176471,1.3725490196078431,0.4901960784313726
Valentín Barco,Brighton,DF,3.4,4,5,4,ENG-Premier League,2324,1.1764705882352942,1.4705882352941178,1.1764705882352942
Aaron Ramsey,Burnley,MF,5.9,6,14,1,ENG-Premier League,2324,1.0169491525423728,2.3728813559322033,0.1694915254237288
Ameen Al-Dakhil,Burnley,DF,11.7,8,5,11,ENG-Premier League,2324,0.6837606837606838,0.4273504273504274,0.9401709401709403
Anass Zaroury,Burnley,FW,1.7,3,0,0,ENG-Premier League,2324,1.7647058823529411,0.0,0.0
Arijanet Muric,Burnley,GK,10.0,0,1,0,ENG-Premier League,2324,0.0,0.1,0.0
Benson Manuel,Burnley,MF,1.3,4,2,0,ENG-Premier League,2324,3.0769230769230766,1.5384615384615383,0.0
Charlie Taylor,Burnley,DF,25.9,10,20,21,ENG-Premier League,2324,0.3861003861003861,0.7722007722007722,0.8108108108108109
Connor Roberts,Burnley,DF,9.1,0,5,4,ENG-Premier League,2324,0.0,0.5494505494505495,0.43956043956043955
Dara O'Shea,Burnley,DF,32.1,19,18,33,ENG-Premier League,2324,0.5919003115264797,0.5607476635514018,1.02803738317757
David Datro Fofana,Burnley,FW,9.8,19,5,1,ENG-Premier League,2324,1.9387755102040816,0.5102040816326531,0.1020408163265306
Han-Noah Massengo,Burnley,MF,0.2,0,1,0,ENG-Premier League,2324,0.0,5.0,0.0
Hannes Delcroix,Burnley,DF,6.5,4,6,12,ENG-Premier League,2324,0.6153846153846154,0.9230769230769231,1.8461538461538463
Hjalmar Ekdal,Burnley,DF,4.9,2,2,6,ENG-Premier League,2324,0.4081632653061224,0.4081632653061224,1.2244897959183672
Jack Cork,Burnley,"DF,MF",0.3,0,0,1,ENG-Premier League,2324,0.0,0.0,3.3333333333333335
Jacob Bruun Larsen,Burnley,MF,13.9,44,4,8,ENG-Premier League,2324,3.1654676258992804,0.28776978417266186,0.5755395683453237
James Trafford,Burnley,GK,28.0,0,1,1,ENG-Premier League,2324,0.0,0.03571428571428571,0.03571428571428571
Jay Rodriguez,Burnley,FW,9.1,22,9,1,ENG-Premier League,2324,2.417582417582418,0.989010989010989,0.10989010989010989
Jordan Beyer,Burnley,DF,13.7,5,19,17,ENG-Premier League,2324,0.36496350364963503,1.3868613138686132,1.2408759124087592
Josh Brownhill,Burnley,MF,25.0,28,35,33,ENG-Premier League,2324,1.12,1.4,1.32
Josh Cullen,Burnley,MF,22.9,16,26,14,ENG-Premier League,2324,0.6986899563318778,1.1353711790393013,0.6113537117903931
Jóhann Berg Guðmundsson,Burnley,MF,13.2,15,4,15,ENG-Premier League,2324,1.1363636363636365,0.30303030303030304,1.1363636363636365
Lorenz Assignon,Burnley,DF,13.7,9,17,17,ENG-Premier League,2324,0.6569343065693432,1.2408759124087592,1.2408759124087592
Luca Koleosho,Burnley,"MF,FW",10.8,23,5,2,ENG-Premier League,2324,2.1296296296296293,0.4629629629629629,0.18518518518518517
Lyle Foster,Burnley,"FW,MF",21.1,34,10,1,ENG-Premier League,2324,1.6113744075829384,0.4739336492890995,0.04739336492890995
Maxime Estève,Burnley,DF,14.5,7,11,28,ENG-Premier League,2324,0.4827586206896552,0.7586206896551724,1.9310344827586208
Michael Obafemi,Burnley,FW,0.2,2,0,0,ENG-Premier League,2324,10.0,0.0,0.0
Mike Trésor,Burnley,"MF,FW",4.7,5,6,1,ENG-Premier League,2324,1.0638297872340425,1.276595744680851,0.2127659574468085
Nathan Redmond,Burnley,"FW,MF",1.6,0,1,0,ENG-Premier League,2324,0.0,0.625,0.0
Sander Berge,Burnley,MF,33.4,25,47,24,ENG-Premier League,2324,0.7485029940119761,1.407185628742515,0.718562874251497
Vitinho,Burnley,"DF,MF",25.7,25,34,9,ENG-Premier League,2324,0.9727626459143969,1.3229571984435797,0.3501945525291829
Wilson Odobert,Burnley,"MF,FW",23.3,49,13,6,ENG-Premier League,2324,2.1030042918454934,0.5579399141630901,0.2575107296137339
Zeki Amdouni,Burnley,FW,21.7,49,19,10,ENG-Premier League,2324,2.2580645161290325,0.8755760368663594,0.4608294930875576
Alfie Gilchrist,Chelsea,DF,2.3,5,0,3,ENG-Premier League,2324,2.173913043478261,0.0,1.3043478260869565
Armando Broja,Chelsea,FW,5.0,13,0,0,ENG-Premier League,2324,2.6,0.0,0.0
Axel Disasi,Chelsea,DF,28.7,16,19,17,ENG-Premier League,2324,0.5574912891986062,0.662020905923345,0.5923344947735192
Ben Chilwell,Chelsea,"MF,DF",8.4,12,10,4,ENG-Premier League,2324,1.4285714285714286,1.1904761904761905,0.47619047619047616
Benoît Badiashile,Chelsea,DF,14.9,6,15,18,ENG-Premier League,2324,0.40268456375838924,1.006711409395973,1.2080536912751678
Carney Chukwuemeka,Chelsea,MF,2.5,3,4,0,ENG-Premier League,2324,1.2,1.6,0.0
Cesare Casadei,Chelsea,MF,0.9,0,3,0,ENG-Premier League,2324,0.0,3.333333333333333,0.0
Christopher Nkunku,Chelsea,"MF,FW",4.9,16,4,2,ENG-Premier League,2324,3.265306122448979,0.8163265306122448,0.4081632653061224
Cole Palmer,Chelsea,"MF,FW",29.0,108,12,19,ENG-Premier League,2324,3.7241379310344827,0.41379310344827586,0.6551724137931034
Conor Gallagher,Chelsea,MF,34.8,48,49,40,ENG-Premier League,2324,1.3793103448275863,1.4080459770114944,1.149425287356322
Deivid Washington,Chelsea,FW,0.1,1,1,0,ENG-Premier League,2324,10.0,10.0,0.0
Enzo Fernández,Chelsea,MF,24.5,47,24,17,ENG-Premier League,2324,1.9183673469387754,0.9795918367346939,0.6938775510204082
Ian Maatsen,Chelsea,MF,2.3,5,2,3,ENG-Premier League,2324,2.173913043478261,0.8695652173913044,1.3043478260869565
Joshua Acheampong,Chelsea,DF,0.1,0,0,0,ENG-Premier League,2324,0.0,0.0,0.0
Lesley Ugochukwu,Chelsea,MF,3.3,0,10,1,ENG-Premier League,2324,0.0,3.0303030303030303,0.30303030303030304
Levi Colwill,Chelsea,DF,20.0,11,33,25,ENG-Premier League,2324,0.55,1.65,1.25
Malo Gusto,Chelsea,"DF,MF",19.5,15,29,17,ENG-Premier League,2324,0.7692307692307693,1.4871794871794872,0.8717948717948718
Marc Cucurella,Chelsea,DF,19.8,8,39,21,ENG-Premier League,2324,0.40404040404040403,1.9696969696969697,1.0606060606060606
Mason Burstow,Chelsea,FW,0.1,0,0,0,ENG-Premier League,2324,0.0,0.0,0.0
Moisés Caicedo,Chelsea,MF,31.8,13,46,34,ENG-Premier League,2324,0.40880503144654085,1.4465408805031446,1.069182389937107
Mykhailo Mudryk,Chelsea,MF,17.5,35,13,9,ENG-Premier League,2324,2.0,0.7428571428571429,0.5142857142857142
Nicolas Jackson,Chelsea,FW,31.1,80,14,4,ENG-Premier League,2324,2.572347266881029,0.45016077170418006,0.12861736334405144
Noni Madueke,Chelsea,MF,11.7,32,11,4,ENG-Premier League,2324,2.735042735042735,0.9401709401709403,0.3418803418803419
Raheem Sterling,Chelsea,MF,22.0,51,9,10,ENG-Premier League,2324,2.3181818181818183,0.4090909090909091,0.45454545454545453
Reece James,Chelsea,"DF,MF",4.7,7,9,3,ENG-Premier League,2324,1.4893617021276595,1.9148936170212765,0.6382978723404255
Robert Sánchez,Chelsea,GK,15.9,0,0,0,ENG-Premier League,2324,0.0,0.0,0.0
Roméo Lavia,Chelsea,MF,0.4,0,0,0,ENG-Premier League,2324,0.0,0.0,0.0
Thiago Silva,Chelsea,DF,28.1,14,15,25,ENG-Premier League,2324,0.49822064056939497,0.5338078291814946,0.889679715302491
Trevoh Chalobah,Chelsea,DF,10.6,2,12,8,ENG-Premier League,2324,0.18867924528301888,1.1320754716981132,0.7547169811320755
Đorđe Petrović,Chelsea,GK,22.1,0,0,0,ENG-Premier League,2324,0.0,0.0,0.0
Adam Wharton,Crystal Palace,MF,14.4,10,31,18,ENG-Premier League,2324,0.6944444444444444,2.1527777777777777,1.25
Cheick Doucouré,Crystal Palace,MF,10.2,6,16,19,ENG-Premier League,2324,0.5882352941176471,1.5686274509803924,1.8627450980392157
Chris Richards,Crystal Palace,"DF,MF",23.3,11,27,24,ENG-Premier League,2324,0.4721030042918455,1.1587982832618025,1.0300429184549356
Daniel Muñoz,Crystal Palace,"MF,DF",16.0,8,36,23,ENG-Premier League,2324,0.5,2.25,1.4375
David Ozoh,Crystal Palace,MF,1.7,0,6,0,ENG-Premier League,2324,0.0,3.5294117647058822,0.0
Dean Henderson,Crystal Palace,GK,18.0,0,1,0,ENG-Premier League,2324,0.0,0.05555555555555555,0.0
Eberechi Eze,Crystal Palace,"MF,FW",22.8,83,17,11,ENG-Premier League,2324,3.6403508771929824,0.7456140350877193,0.4824561403508772
James Tomkins,Crystal Palace,"DF,MF",0.1,0,0,0,ENG-Premier League,2324,0.0,0.0,0.0
Jaïro Riedewald,Crystal Palace,MF,2.6,1,3,2,ENG-Premier League,2324,0.3846153846153846,1.1538461538461537,0.7692307692307692
Jean-Philippe Mateta,Crystal Palace,FW,25.4,46,16,4,ENG-Premier League,2324,1.8110236220472442,0.6299212598425197,0.15748031496062992
Jefferson Lerma,Crystal Palace,"MF,DF",26.7,34,25,36,ENG-Premier League,2324,1.2734082397003745,0.9363295880149813,1.348314606741573
Jeffrey Schlupp,Crystal Palace,"MF,FW",15.0,19,21,7,ENG-Premier League,2324,1.2666666666666666,1.4,0.4666666666666667
Jesurun Rak Sakyi,Crystal Palace,"FW,MF",1.5,5,1,3,ENG-Premier League,2324,3.3333333333333335,0.6666666666666666,2.0
Joachim Andersen,Crystal Palace,DF,37.9,21,36,42,ENG-Premier League,2324,0.554089709762533,0.949868073878628,1.108179419525066
Joel Ward,Crystal Palace,DF,22.0,10,28,13,ENG-Premier League,2324,0.45454545454545453,1.2727272727272727,0.5909090909090909
Jordan Ayew,Crystal Palace,"MF,FW",28.3,48,37,17,ENG-Premier League,2324,1.696113074204947,1.3074204946996466,0.6007067137809187
Marc Guéhi,Crystal Palace,DF,22.5,5,16,15,ENG-Premier League,2324,0.2222222222222222,0.7111111111111111,0.6666666666666666
Matheus França,Crystal Palace,MF,2.6,8,3,1,ENG-Premier League,2324,3.0769230769230766,1.1538461538461537,0.3846153846153846
Michael Olise,Crystal Palace,"MF,FW",14.2,57,10,9,ENG-Premier League,2324,4.014084507042254,0.7042253521126761,0.6338028169014085
Naouirou Ahamada,Crystal Palace,MF,3.9,9,9,2,ENG-Premier League,2324,2.307692307692308,2.307692307692308,0.5128205128205129
Nathaniel Clyne,Crystal Palace,DF,14.9,4,15,9,ENG-Premier League,2324,0.2684563758389262,1.006711409395973,0.6040268456375839
Odsonne Édouard,Crystal Palace,"FW,MF",17.3,51,12,5,ENG-Premier League,2324,2.9479768786127165,0.6936416184971098,0.2890173410404624
Sam Johnstone,Crystal Palace,GK,20.0,0,0,1,ENG-Premier League,2324,0.0,0.0,0.05
Tyrick Mitchell,Crystal Palace,"DF,MF",35.6,12,59,24,ENG-Premier League,2324,0.33707865168539325,1.6573033707865168,0.6741573033707865
Will Hughes,Crystal Palace,MF,21.0,8,33,18,ENG-Premier League,2324,0.38095238095238093,1.5714285714285714,0.8571428571428571
Abdoulaye Doucouré,Everton,MF,29.2,47,28,16,ENG-Premier League,2324,1.6095890410958904,0.9589041095890412,0.547945205479452
