id,season_name,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,prev_total_points,prev_minutes,prev_goals_scored,prev_assists,prev_clean_sheets,prev_goals_conceded,prev_own_goals,prev_penalties_saved,prev_penalties_missed,prev_yellow_cards,prev_red_cards,prev_saves,prev_bonus,prev_bps,prev_influence,prev_creativity,prev_threat,prev_ict_index,prev_expected_goals,prev_expected_assists,prev_expected_goal_involvements,avg2_total_points,avg2_goals_scored,avg2_assists,avg2_minutes,avg2_clean_sheets,avg2_saves,avg2_goals_conceded,seasons_played,full_name,position,team_name
50,2025/26,1,16,0,0,0,1,0,0,0,0,0,0,0,3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,87.0,4.5,3.0,1879.0,8.0,0.0,19.0,0,Bradley Burrowes,Midfielder,Aston Villa
51,2025/26,2,25,0,0,0,0,0,0,0,0,0,0,0,5,0.0,1.7,2.0,0.3,0.04,0.01,0.05,,,,,,,,,,,,,,,,,,,,,,3.5,0.0,0.0,72.0,0.5,0.0,1.5,0,George Hemmings,Midfielder,Aston Villa
52,2025/26,3,47,0,0,0,2,0,0,0,0,0,0,0,11,3.2,3.5,10.0,1.5,0.05,0.05,0.1,,,,,,,,,,,,,,,,,,,,,,58.0,0.0,2.0,2790.0,3.0,0.0,56.0,0,Alysson Edward Franco da Rocha dos Santos,Midfielder,Aston Villa
54,2022/23,21,649,1,0,2,18,0,0,0,5,0,0,2,84,139.8,74.3,46.0,25.8,0.3,0.11,0.41,,,,,,,,,,,,,,,,,,,,,,20.0,0.0,1.0,584.0,2.0,0.0,6.0,0,Joao Gomes,Midfielder,Aston Villa
54,2023/24,75,2646,2,2,4,51,0,0,0,11,0,0,3,359,493.2,372.3,196.0,106.1,1.82,1.76,3.58,21.0,649.0,1.0,0.0,2.0,18.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,84.0,139.8,74.3,46.0,25.8,0.3,0.11,0.41,53.0,0.0,3.0,1833.0,5.0,0.0,36.0,1,Joao Gomes,Midfielder,Aston Villa
54,2024/25,87,2975,3,1,6,59,0,0,0,9,1,0,7,489,513.4,428.9,231.0,117.3,2.94,2.61,5.55,75.0,2646.0,2.0,2.0,4.0,51.0,0.0,0.0,0.0,11.0,0.0,0.0,3.0,359.0,493.2,372.3,196.0,106.1,1.82,1.76,3.58,56.0,0.5,2.0,1906.0,3.0,0.0,37.0,2,Joao Gomes,Midfielder,Aston Villa
54,2025/26,107,2829,1,2,4,56,0,0,0,10,0,0,6,529,486.6,353.4,176.0,102.0,1.29,2.09,3.38,87.0,2975.0,3.0,1.0,6.0,59.0,0.0,0.0,0.0,9.0,1.0,0.0,7.0,489.0,513.4,428.9,231.0,117.3,2.94,2.61,5.55,63.0,1.5,1.5,1940.0,3.5,0.0,32.5,3,Joao Gomes,Midfielder,Aston Villa
55,2020/21,168,3328,14,9,14,46,0,0,1,2,1,0,18,531,815.4,610.4,1721.0,314.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,90.0,0.0,2.0,2.0,0,Ollie Watkins,Forward,Aston Villa
55,2021/22,131,2950,11,3,10,48,0,0,0,7,0,0,17,441,613.8,469.6,1345.0,242.9,0.0,0.0,0.0,168.0,3328.0,14.0,9.0,14.0,46.0,0.0,0.0,1.0,2.0,1.0,0.0,18.0,531.0,815.4,610.4,1721.0,314.0,0.0,0.0,0.0,17.0,0.0,0.0,540.0,1.0,24.0,11.0,1,Ollie Watkins,Forward,Aston Villa
55,2022/23,175,3129,15,8,13,40,0,0,1,4,0,0,25,550,837.6,420.3,1308.0,256.7,16.15,2.66,18.81,131.0,2950.0,11.0,3.0,10.0,48.0,0.0,0.0,0.0,7.0,0.0,0.0,17.0,441.0,613.8,469.6,1345.0,242.9,0.0,0.0,0.0,17.0,0.0,0.0,540.0,1.0,24.0,11.0,2,Ollie Watkins,Forward,Aston Villa
55,2023/24,228,3222,19,18,7,56,0,0,0,4,0,0,29,752,1024.6,588.5,1420.0,302.8,16.74,4.02,20.76,175.0,3129.0,15.0,8.0,13.0,40.0,0.0,0.0,1.0,4.0,0.0,0.0,25.0,550.0,837.6,420.3,1308.0,256.7,16.15,2.66,18.81,53.0,0.0,0.0,1080.0,4.0,26.0,11.0,3,Ollie Watkins,Forward,Aston Villa
