player_id,name,current_club_name,position,sub_position,market_value_in_eur,highest_market_value_in_eur
429014,Morgan Gibbs-White,Nottingham Forest,Midfield,Attacking Midfield,70000000.0,70000000.0
429915,Maxim De Cuyper,Brighton & Hove Albion,Defender,Left-Back,22000000.0,22000000.0
429983,Jørgen Strand Larsen,Wolverhampton Wanderers,Attack,Centre-Forward,40000000.0,45000000.0
430310,Andrew Irving,West Ham United,Midfield,Central Midfield,4500000.0,5000000.0
431755,Dejan Kulusevski,Tottenham Hotspur,Midfield,Attacking Midfield,17000000.0,60000000.0
432164,Igor Jesus,Nottingham Forest,Attack,Centre-Forward,25000000.0,25000000.0
432914,John Victor,Nottingham Forest,Goalkeeper,Goalkeeper,5000000.0,8000000.0
433177,Bukayo Saka,Arsenal FC,Attack,Right Winger,110000000.0,150000000.0
433183,Tommy Doyle,Wolverhampton Wanderers,Midfield,Central Midfield,7000000.0,10000000.0
433188,Curtis Jones,Liverpool FC,Midfield,Central Midfield,35000000.0,50000000.0
433991,Ethan Galbraith,Swansea City,Midfield,Central Midfield,2500000.0,2500000.0
434224,Maxence Lacroix,Crystal Palace,Defender,Centre-Back,50000000.0,50000000.0
434675,Cody Gakpo,Liverpool FC,Attack,Left Winger,60000000.0,70000000.0
435062,Callum Styles,West Bromwich Albion,Defender,Left-Back,3000000.0,3500000.0
435338,Gabriel,Arsenal FC,Defender,Centre-Back,75000000.0,75000000.0
435648,Joshua Zirkzee,Manchester United,Attack,Centre-Forward,20000000.0,50000000.0
438001,Santiago Bueno,Wolverhampton Wanderers,Defender,Centre-Back,10000000.0,10000000.0
442248,Ethan Pinnock,Brentford FC,Defender,Centre-Back,3000000.0,15000000.0
444208,Michael Obafemi,Burnley FC,Attack,Centre-Forward,600000.0,5000000.0
444523,Lucas Paquetá,West Ham United,Midfield,Attacking Midfield,32000000.0,65000000.0
445939,Omar Marmoush,Manchester City,Attack,Centre-Forward,50000000.0,75000000.0
447661,Douglas Luiz,Nottingham Forest,Midfield,Central Midfield,18000000.0,70000000.0
450050,Jean-Ricner Bellegarde,Wolverhampton Wanderers,Midfield,Central Midfield,16000000.0,18000000.0
451276,Dominik Szoboszlai,Liverpool FC,Midfield,Attacking Midfield,100000000.0,100000000.0
454576,Róbert Boženík,Stoke City,Attack,Centre-Forward,2500000.0,5000000.0
455661,Nick Woltemade,Newcastle United,Attack,Centre-Forward,55000000.0,70000000.0
456292,Ellery Balcombe,Brentford FC,Goalkeeper,Goalkeeper,400000.0,400000.0
458178,Jack Taylor,Ipswich Town,Midfield,Central Midfield,3000000.0,3000000.0
460939,Tijjani Reijnders,Manchester City,Midfield,Central Midfield,50000000.0,70000000.0
461883,Calvin Bassey,Fulham FC,Defender,Centre-Back,28000000.0,28000000.0
463603,Benoît Badiashile,Chelsea FC,Defender,Centre-Back,15000000.0,40000000.0
463605,Bafodé Diakité,AFC Bournemouth,Defender,Centre-Back,25000000.0,35000000.0
465555,Djordje Petrovic,AFC Bournemouth,Goalkeeper,Goalkeeper,28000000.0,28000000.0
465717,Jayden Bogle,Leeds United,Defender,Right-Back,15000000.0,15000000.0
466805,Nico González,Manchester City,Midfield,Defensive Midfield,40000000.0,45000000.0
467623,Lyle Foster,Burnley FC,Attack,Centre-Forward,8000000.0,13000000.0
468198,Joe Aribo,Southampton FC,Midfield,Central Midfield,1800000.0,15000000.0
469050,Nathan Collins,Brentford FC,Defender,Centre-Back,30000000.0,35000000.0
469781,Marcos Senesi,AFC Bournemouth,Defender,Centre-Back,25000000.0,25000000.0
470607,Brennan Johnson,Tottenham Hotspur,Attack,Right Winger,30000000.0,50000000.0
472423,Reece James,Chelsea FC,Defender,Right-Back,60000000.0,70000000.0
473050,Kevin Schade,Brentford FC,Attack,Left Winger,35000000.0,35000000.0
473169,Brian Brobbey,Sunderland AFC,Attack,Centre-Forward,30000000.0,35000000.0
474701,Crysencio Summerville,West Ham United,Attack,Left Winger,35000000.0,35000000.0
475188,Kiernan Dewsbury-Hall,Everton FC,Midfield,Central Midfield,35000000.0,35000000.0
475411,Wesley Fofana,Chelsea FC,Defender,Centre-Back,28000000.0,65000000.0
